date,overnight_rate_pa,country
2000-01-01,5.84,Norway
2000-02-01,5.92,Norway
2000-03-01,5.87,Norway
2000-04-01,6.11,Norway
2000-05-01,6.2,Norway
2000-06-01,6.45,Norway
2000-07-01,6.55,Norway
2000-08-01,6.87,Norway
2000-09-01,7.08,Norway
2000-10-01,7.39,Norway
2000-11-01,7.32,Norway
2000-12-01,7.62,Norway
2001-01-01,7.37,Norway
2001-02-01,7.31,Norway
2001-03-01,7.34,Norway
2001-04-01,7.73,Norway
2001-05-01,7.36,Norway
2001-06-01,7.37,Norway
2001-07-01,7.3,Norway
2001-08-01,7.16,Norway
2001-09-01,7.3,Norway
2001-10-01,7.31,Norway
2001-11-01,7.15,Norway
2001-12-01,7.11,Norway
2002-01-01,6.7,Norway
2002-02-01,6.76,Norway
2002-03-01,6.74,Norway
2002-04-01,6.83,Norway
2002-05-01,6.78,Norway
2002-06-01,6.85,Norway
2002-07-01,7.19,Norway
2002-08-01,7.23,Norway
2002-09-01,7.21,Norway
2002-10-01,7.25,Norway
2002-11-01,7.21,Norway
2002-12-01,7.01,Norway
2003-01-01,6.59,Norway
2003-02-01,6.19,Norway
2003-03-01,5.78,Norway
2003-04-01,5.78,Norway
2003-05-01,5.35,Norway
2003-06-01,5.07,Norway
2003-07-01,4.25,Norway
2003-08-01,3.71,Norway
2003-09-01,3.11,Norway
2003-10-01,3.02,Norway
2003-11-01,2.87,Norway
2003-12-01,2.84,Norway
2004-01-01,2.52,Norway
2004-02-01,2.34,Norway
2004-03-01,2.14,Norway
2004-04-01,2.16,Norway
2004-05-01,2.14,Norway
2004-06-01,2.19,Norway
2004-07-01,2.15,Norway
2004-08-01,2.14,Norway
2004-09-01,2.07,Norway
2004-10-01,2.11,Norway
2004-11-01,2.07,Norway
2004-12-01,2.06,Norway
2005-01-01,2.02,Norway
2005-02-01,2.01,Norway
2005-03-01,2.06,Norway
2005-04-01,2.13,Norway
2005-05-01,2.08,Norway
2005-06-01,2.11,Norway
2005-07-01,2.29,Norway
2005-08-01,2.24,Norway
2005-09-01,2.31,Norway
2005-10-01,2.42,Norway
2005-11-01,2.62,Norway
2005-12-01,2.63,Norway
2006-01-01,2.55,Norway
2006-02-01,2.53,Norway
2006-03-01,2.65,Norway
2006-04-01,3.01,Norway
2006-05-01,2.96,Norway
