date,ticker,value,prev_year_value,log_return,month_start,country,rate_date,interest_rate,interest_rate_switzerland,interest_rate_log_diff
2005-03-01,AUDCHF,0.9161999821662904,0.979300022125244,-0.06660339133188967,2005-03-01,Australia,2005-03-01,5.49,0.809343,-0.04538512185969852
2005-03-01,CADCHF,0.9399999976158142,0.948099970817566,-0.00858007841631989,2005-03-01,Canada,2005-03-01,2.4794,0.809343,-0.016430762936383778
2005-03-01,EURCHF,1.5370999574661257,1.5789999961853027,-0.026894236280369143,2005-03-01,Germany,2005-03-01,2.0567,0.809343,-0.012297501357831262
2005-03-01,GBPCHF,2.238899946212769,2.3694000244140625,-0.05665211904306245,2005-03-01,United Kingdom,,,,
2005-03-01,JPYCHF,0.0111640002578496,0.0116339996457099,-0.041237476264978076,2005-03-01,Japan,2005-03-01,0.002,0.809343,0.008040854045924882
2005-03-01,NOKCHF,0.1870799958705902,0.1817400008440017,0.02895921187351578,2005-03-01,Norway,2005-03-01,2.06,0.809343,-0.012329835801806523
2005-03-01,NZDCHF,0.8464199900627136,0.8751999735832214,-0.03343672290991833,2005-03-01,New Zealand,2005-03-01,6.67,0.809343,-0.05650891680337261
2005-03-01,SEKCHF,0.1692000031471252,0.170300006866455,-0.006480162216247598,2005-03-01,Sweden,2005-03-01,2.0,0.809343,-0.011741773450252272
2005-03-01,USDCHF,1.1670000553131104,1.268399953842163,-0.08331982658934158,2005-03-01,United States,2005-03-01,2.63,0.809343,-0.017899247823604164
2005-04-01,AUDCHF,0.9282000064849854,0.9678999781608582,-0.0418815197979143,2005-04-01,Australia,2005-04-01,5.5,0.646173,-0.047099824404673
2005-04-01,CADCHF,0.9886000156402588,0.9653000235557556,0.023850858436380195,2005-04-01,Canada,2005-04-01,2.4954,0.646173,-0.01820679101118441
2005-04-01,EURCHF,1.5542999505996704,1.5612000226974487,-0.004429519139079332,2005-04-01,Germany,2005-04-01,2.0757,0.646173,-0.014103566373346917
2005-04-01,GBPCHF,2.265199899673462,2.344399929046631,-0.034366464387947174,2005-04-01,United Kingdom,,,,
2005-04-01,JPYCHF,0.0111809996888041,0.0121630001813173,-0.08418269021091719,2005-04-01,Japan,2005-04-01,0.001,0.646173,0.006430942573356363
2005-04-01,NOKCHF,0.1889300048351287,0.1849700063467025,0.021182917598875268,2005-04-01,Norway,2005-04-01,2.13,0.646173,-0.014635383078559546
2005-04-01,SEKCHF,0.1687999963760376,0.1685999929904937,0.0011855566999012137,2005-04-01,Sweden,2005-04-01,2.0,0.646173,-0.013361684772822967
2005-04-01,USDCHF,1.202399969100952,1.2628999948501587,-0.04909112583338078,2005-04-01,United States,2005-04-01,2.79,0.646173,-0.021076943513382518
2005-06-01,AUDCHF,0.9407200217247008,0.8817999958992004,0.06468029433550505,2005-06-01,Australia,2005-06-01,5.5,0.631008,-0.047250512127477516
2005-06-01,CADCHF,1.0056999921798706,0.911400020122528,0.0984571867661446,2005-06-01,Canada,2005-06-01,2.4936,0.631008,-0.018339916816032056
2005-06-01,EURCHF,1.5318000316619873,1.5256999731063845,0.003990231653195277,2005-06-01,Germany,2005-06-01,2.0623,0.631008,-0.014122970356531848
2005-06-01,GBPCHF,2.272700071334839,2.293600082397461,-0.009154088126435601,2005-06-01,United Kingdom,,,,
2005-06-01,JPYCHF,0.0115470001474022,0.0112789999693632,0.023483088793618993,2005-06-01,Japan,2005-06-01,0.001,0.631008,0.006280254850551843
2005-06-01,NOKCHF,0.1935299932956695,0.1861799955368042,0.03871858085406106,2005-06-01,Norway,2005-06-01,2.11,0.631008,-0.01459022277880289
2005-06-01,NZDCHF,0.8750399947166443,0.7837399840354919,0.11019228123518846,2005-06-01,New Zealand,2005-06-01,6.75,0.631008,-0.059029211320090216
