"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2000-01";"SARON";"2.28"
"2000-01";"1TGT";"2.0625"
"2000-01";"EG3M";"1.7"
"2000-01";"SOFR";
"2000-01";"3M1";"6.0775"
"2000-01";"TONA";"0.02"
"2000-01";"SONIA";"6.606"
"2000-01";"3M3";"6.22594"
"2000-01";"ESTR";
"2000-01";"EURIBOR";"3.492"
"2000-02";"SARON";"1.342026"
"2000-02";"1TGT";"1.8"
"2000-02";"EG3M";"2.231"
"2000-02";"SOFR";
"2000-02";"3M1";"6.10875"
"2000-02";"TONA";"0.05"
"2000-02";"SONIA";"6.0053"
"2000-02";"3M3";"6.25375"
"2000-02";"ESTR";
"2000-02";"EURIBOR";"3.634"
"2000-03";"SARON";"2.361749"
"2000-03";"1TGT";"2.35"
"2000-03";"EG3M";"2.729"
"2000-03";"SOFR";
"2000-03";"3M1";"6.29"
"2000-03";"TONA";"0.04"
"2000-03";"SONIA";"5.7179"
"2000-03";"3M3";"6.25125"
"2000-03";"ESTR";
"2000-03";"EURIBOR";"3.831"
"2000-04";"SARON";"2.547827"
"2000-04";"1TGT";"2.95"
"2000-04";"EG3M";"2.753"
"2000-04";"SOFR";
"2000-04";"3M1";"6.5025"
"2000-04";"TONA";"0.02"
"2000-04";"SONIA";"5.8485"
"2000-04";"3M3";"6.365"
"2000-04";"ESTR";
"2000-04";"EURIBOR";"4.094"
"2000-05";"SARON";"3.047974"
"2000-05";"1TGT";"2.7"
"2000-05";"EG3M";"2.889"
"2000-05";"SOFR";
"2000-05";"3M1";"6.8625"
"2000-05";"TONA";"0.03"
"2000-05";"SONIA";"5.9768"
"2000-05";"3M3";"6.27891"
"2000-05";"ESTR";
"2000-05";"EURIBOR";"4.453"
"2000-06";"SARON";"3.054887"
"2000-06";"1TGT";"3.05"
"2000-06";"EG3M";"3.19"
"2000-06";"SOFR";
"2000-06";"3M1";"6.76938"
"2000-06";"TONA";"0.03"
"2000-06";"SONIA";"5.2592"
"2000-06";"3M3";"6.22484"
"2000-06";"ESTR";
"2000-06";"EURIBOR";"4.547"
"2000-07";"SARON";"2.778948"
"2000-07";"1TGT";"3"
"2000-07";"EG3M";"3.247"
"2000-07";"SOFR";
"2000-07";"3M1";"6.72188"
"2000-07";"TONA";"0.02"
